run_at_utc,mode,test_id,test,expected,observed,status,detail
2026-09-11T19:19:36Z,round,L0a,the freeze on disk is the one this generator was built against,b36befd3e13d5f7f5d9b0af83b7db819e86d7b13e6fdcab4c55db0599fd248f6,b36befd3e13d5f7f5d9b0af83b7db819e86d7b13e6fdcab4c55db0599fd248f6,PASS,the log records what a specific frozen model said. Against a different freeze it would be recording something else
2026-09-11T19:19:36Z,round,L0b,and the pin cites that same freeze,b36befd3e13d5f7f5d9b0af83b7db819e86d7b13e6fdcab4c55db0599fd248f6,b36befd3e13d5f7f5d9b0af83b7db819e86d7b13e6fdcab4c55db0599fd248f6,PASS,
2026-09-11T19:19:36Z,round,L0c,PHASE6_LIVE_LOG_PROTOCOL.txt exists and is registered in FROZEN_PATTERNS,both,exists=True registered=True,PASS,"the rules must predate the predictions, and a hash is what makes that checkable rather than asserted"
2026-09-11T19:19:36Z,round,L2a,the round is being written BEFORE its first kickoff,generated_at < 2026-09-12,2026-09-11T19:19:35Z,PASS,"L2: a round written after its first kickoff is CONTAMINATED and is excluded from the live log's own metrics. It is never excluded from the holdout, which no rule in this protocol may alter"
2026-09-11T19:19:36Z,round,L2b,every name in the round and in the live spine is inside the pin's declared twenty,0 outside,0 outside,PASS,"asserted through the SAME function the scoring instrument uses, so the log cannot accept a name the holdout would reject"
2026-09-11T19:19:36Z,round,L4a,no match_id in this round is already in the log,0,0,PASS,L1 and L3 in code: a prediction is written ONCE. none
2026-09-11T19:19:36Z,round,L4b,every written row carries three probabilities summing to one,max |sum-1| = 0,2.22e-16,PASS,"through the Phase 0 harness's own validator, not a local check"
2026-09-11T19:21:41Z,round,L0a,the freeze on disk is the one this generator was built against,b36befd3e13d5f7f5d9b0af83b7db819e86d7b13e6fdcab4c55db0599fd248f6,b36befd3e13d5f7f5d9b0af83b7db819e86d7b13e6fdcab4c55db0599fd248f6,PASS,the log records what a specific frozen model said. Against a different freeze it would be recording something else
2026-09-11T19:21:41Z,round,L0b,and the pin cites that same freeze,b36befd3e13d5f7f5d9b0af83b7db819e86d7b13e6fdcab4c55db0599fd248f6,b36befd3e13d5f7f5d9b0af83b7db819e86d7b13e6fdcab4c55db0599fd248f6,PASS,
2026-09-11T19:21:41Z,round,L0c,PHASE6_LIVE_LOG_PROTOCOL.txt exists and is registered in FROZEN_PATTERNS,both,exists=True registered=True,PASS,"the rules must predate the predictions, and a hash is what makes that checkable rather than asserted"
2026-09-11T19:21:41Z,round,L2a,the round is being written BEFORE its first kickoff,generated_at < 2026-09-12,2026-09-11T19:21:39Z,PASS,"L2: a round written after its first kickoff is CONTAMINATED and is excluded from the live log's own metrics. It is never excluded from the holdout, which no rule in this protocol may alter"
2026-09-11T19:21:41Z,round,L2b,every name in the round and in the live spine is inside the pin's declared twenty,0 outside,0 outside,PASS,"asserted through the SAME function the scoring instrument uses, so the log cannot accept a name the holdout would reject"
2026-09-11T19:21:41Z,round,L4a,no match_id in this round is already in the log,0,0,PASS,L1 and L3 in code: a prediction is written ONCE. none
2026-09-11T19:21:41Z,round,L4e,"sides predicted with NO fitted strength, taking NEUTRAL_STRENGTH",,0: none,INFO,"assert_vocabulary cannot see this case - the name IS declared, it is the HISTORY that is missing. Legitimate only for a promoted side before it has played; recorded every round either way"
2026-09-11T19:21:41Z,round,L4b,every written row carries three probabilities summing to one,max |sum-1| = 0,2.22e-16,PASS,"through the Phase 0 harness's own validator, not a local check"
2026-09-11T19:21:41Z,round,L4c,the round is appended to the local mirror,10,10,PASS,the mirror is the PRIMARY record: git is what timestamps it. Supabase is the dashboard's copy
2026-09-11T19:21:41Z,round,L4d,Supabase insert,,NOT WRITTEN - no SUPABASE_URL / SUPABASE_SERVICE_KEY in the environment,INFO,"mirror-only is a degraded run, not a failed one. The service key is read from the environment and is never in the repository"
2026-09-11T19:21:50Z,verify,L0a,the freeze on disk is the one this generator was built against,b36befd3e13d5f7f5d9b0af83b7db819e86d7b13e6fdcab4c55db0599fd248f6,b36befd3e13d5f7f5d9b0af83b7db819e86d7b13e6fdcab4c55db0599fd248f6,PASS,the log records what a specific frozen model said. Against a different freeze it would be recording something else
2026-09-11T19:21:50Z,verify,L0b,and the pin cites that same freeze,b36befd3e13d5f7f5d9b0af83b7db819e86d7b13e6fdcab4c55db0599fd248f6,b36befd3e13d5f7f5d9b0af83b7db819e86d7b13e6fdcab4c55db0599fd248f6,PASS,
2026-09-11T19:21:50Z,verify,L0c,PHASE6_LIVE_LOG_PROTOCOL.txt exists and is registered in FROZEN_PATTERNS,both,exists=True registered=True,PASS,"the rules must predate the predictions, and a hash is what makes that checkable rather than asserted"
2026-09-11T19:21:50Z,verify,L4v,every row hash in the mirror recomputes,0,0,PASS,10 rows checked
