test_id,test,expected,observed,status,detail
SW0a,the freeze on disk is the one Phase 6 was built against,b36befd3e13d5f7f5d9b0af83b7db819e86d7b13e6fdcab4c55db0599fd248f6,b36befd3e13d5f7f5d9b0af83b7db819e86d7b13e6fdcab4c55db0599fd248f6,PASS,the same assertion the scoring instrument makes at S0a. A watch governed by a different freeze is watching the wrong thing
SW0b,the pin parses to the twenty names and the cutoff,20 names + a date,"20 names, cutoff 2026-09-04",PASS,"read THROUGH THE SCORING INSTRUMENT'S OWN PARSER, so this watch checks the names that run will actually assert on"
SW1,a snapshot is available to check,a file in data/watch/,E0_2627_2026-09-03.csv,PASS,"--offline was given, so nothing was fetched and this run says only what the last snapshot said"
SW2,the file parses as CSV and carries a header,> 0 columns,114 columns,PASS,"the column COUNT is not asserted against a fixed number on purpose: football-data adds and drops bookmakers between seasons and always has. What matters is the columns this project names, below"
SW3,the 12 match-detail columns the project uses are present under the same names,all present,missing: none,PASS,"imported from phase5_e1a_sot_ratings.SHOT_COLUMNS rather than retyped, so this checks the list the code actually uses: HS, AS, HST, AST, HC, AC, HF, AF, HY, AY, HR, AR"
SW4,the spine columns the join and the market cross-check need,all present,missing: none,PASS,"PRESENCE only. FTHG, FTAG and FTR are named here and are never loaded - see FORBIDDEN and SW2b"
SW5-B365C,"Bet365 closing (PRIMARY) - B365CH, B365CD, B365CA",all present,missing: none,PASS,"the PRIMARY book is the one H6.2(c) freezes. Losing it would cost the holdout its market control, which is the whole point of scoring the market on the same matches"
SW5-AvgC,"market average closing (sensitivity) - AvgCH, AvgCD, AvgCA",all present,missing: none,PASS,"declared a SENSITIVITY in PHASE5_MARKET_PREDECLARATION.txt. If it is gone, the sensitivity cannot be reproduced on 2026-27 and that is reported as a loss of scope, NEVER repaired by promoting another book into its place"
SW5-PSC,"Pinnacle closing (sensitivity) - PSCH, PSCD, PSCA",all present,"missing: PSCH, PSCD, PSCA",FAIL,"declared a SENSITIVITY in PHASE5_MARKET_PREDECLARATION.txt. If it is gone, the sensitivity cannot be reproduced on 2026-27 and that is reported as a loss of scope, NEVER repaired by promoting another book into its place"
SW2b,no result column is loaded into memory,"none of FTHG, FTAG, FTR, HTHG, HTAG, HTR, HxG, AxG",loaded: none,PASS,"usecols=SAFE_COLUMNS is what makes 'this instrument cannot leak' a property of the file rather than a promise in its header. Asserted rather than assumed, because the promise is the part that rots"
SW6a,the project's two copies of TEAM_MAP agree,identical,"identical, 8 entries",PASS,phase5_market_benchmark and phase5_e1a_sot_ratings each carry one. A watch that checked the wrong copy would pass while the scoring run failed
SW6,every 2026-27 team name maps into the pin's twenty,0 outside the vocabulary,"2 outside: Coventry, Hull",FAIL,"THE MAPPING IS THE PROJECT'S OWN DICTIONARY, applied whole and never by partial match. A name outside the vocabulary is exactly what P4.5 says must stop the scoring run, and the fix is a DATED AMENDMENT to the pin recording the source's actual spelling - never a normalisation inside a loader. Source names seen: Arsenal, Aston Villa, Bournemouth, Brentford, Brighton, Chelsea, Coventry, Crystal Palace, Everton, Fulham, Hull, Ipswich, Leeds, Liverpool, Man City, Man United, Newcastle, Nott'm Forest, Sunderland, Tottenham"
SW6b,distinct team names in the source file so far,,20 of the pin's 20,INFO,fewer than twenty early in a season is not a defect - it means not every club has appeared yet. Only names that fail to map are
SW7a,every row is the Premier League,E0,E0,PASS,a division column carrying anything else means the wrong file
SW7b,every date parses as %d/%m/%Y,all 20 rows,parsed,PASS,the format is the one load_odds() uses. A source that switched to ISO would raise inside the scoring run instead
SW8a,no match date is in the future,max <= 2026-09-03,2026-08-31,PASS,a fixture list with results attached would carry unplayed dates
SW8b,the row count is consistent with the matchweeks played,20 +/- 2 (2 matchweek blocks x 10),20 rows,PASS,"a matchweek is a block of match dates separated from the next by at least 4 days, derived from the file's OWN dates rather than from a calendar this repository does not hold. The tolerance absorbs postponements; a larger drift means rounds are being split or merged and the count needs looking at"
SW8c,the season has not overrun its structural bounds,rows <= 380 and blocks <= 38,"20 rows, 2 blocks",PASS,"the hard bound, as opposed to SW8b's tolerance. Breaching it means the file is not one Premier League season"
SW8d,no club has played more than 38 matches,max <= 38,max 2,PASS,"a count above 38 means duplicated rows, which is the failure mode M1a caught on the development files"
SW8e,matches played per club,,"min 2, max 2",INFO,"a spread wider than a match or two mid-season means postponements, which move rows across the cutoff under H3.4 and change the 360"
SW9,columns present in E0_2526.csv and gone from 2026-27,,"32: BMGMH, BMGMD, BMGMA, CLH, CLD, CLA, LBH, LBD, LBA, PSH, PSD, PSA, P>2.5, P<2.5, PAHH, PAHA, BMGMCH, BMGMCD, BMGMCA, CLCH, CLCD, CLCA, LBCH, LBCD, LBCA, PSCH, PSCD, PSCA, PC>2.5, PC<2.5, PCAHH, PCAHA",INFO,"REPORTED, NOT ASSERTED. A dropped column this project does not use costs nothing; the row exists so that a source narrowing is visible in September rather than inferred in May. SW5 is the assertion"
SW9b,columns new in 2026-27,,"14: HxG, AxG, PPH, PPD, PPA, SKBH, SKBD, SKBA, PPCH, PPCD, PPCA, SKBCH, SKBCD, SKBCA",INFO,"A NEW COLUMN IS NOT AN INVITATION. H5.1 forbids any feature decision made because of something observed in 2026-27, and that includes a column that appears mid-holdout. Recorded for after the holdout is scored, and not acted on"
SW10,the FBref fixture export the match spine is built from,,NOT YET ON DISK,INFO,"phase6_score_holdout.py reads outputs/phase1_matches.csv, which phase1_match_foundation.py builds from data/raw/Fixtures/*.xls - NOT from the E0 file. This watch checks the odds source over the network; the fixture export arrives at season end and cannot be checked before it exists. Recorded so the gap in this watch's cover is stated rather than implied: 2026-2027 PL Season.xls"
SW11,the previous watch run,,no earlier run - this is the first,INFO,"monthly is the declared cadence, from the freeze to the final 2026-27 fixture. Each run writes its own dated artefact rather than overwriting one, so the record is a series of checks at dates and not a single mutable file"
